ICDId;ICDCode;ICDName;ICDNameTranslated
10716;Z12.6;Mesane neoplazmı için özel tarama muayenesi;special screening examination for neoplasm of bladder
10717;Z12.8;Neoplazmlar için özel tarama muayenesi, diğer yerlerin;special screening examination for neoplasm of other sites
10718;Z12.9;Neoplazm için özel tarama muayenesi, tanımlanmamış;special screening examination for neoplasm, unspecified
10719;Z13;Hastalıklar ve diğer bozukluklar için özel tarama muayenesi;special screening examination for other diseases and disorders
10720;Z13.0;Kan ve kan yapan organların hastalıkları ve immün mekanizmanın bazı bozuklukları ;immune diseases and some disturbances of the mechanism of blood and blood-forming organ 
10721;Z13.1;Diyabetes mellitüs için özel tarama muayenesi;special screening examination for diabetes mellitus
10722;Z13.2;Beslenme bozuklukları için özel tarama muayenesi;The special screening examination for nutritional disorders
10723;Z13.3;Zihin ve davranış bozuklukları için özel tarama muayenesi;special screening examination for mental and behavioral disorders
10724;Z13.4;Çocuklukta bazı gelişim bozuklukları için özel tarama muayenesi;special screening examination for certain developmental disorders in childhood
10725;Z13.5;Göz ve kulak bozuklukları için özel tarama muayenesi;special screening examination for eye and ear disorders
10726;Z13.6;Kalp damar bozuklukları için özel tarama muayenesi;special screening examination for cardiovascular disorders
10727;Z13.7;Konjenital malformasyonlar, deformasyonlar ve kromozom anomalileri için ;Congenital malformations, deformations and chromosomal abnormalities for 
10728;Z13.8;Hastalıklar ve bozukluklar için diğer tanımlanmış özel tarama muayenesi;special screening examination for other specified diseases and disorders
10729;Z13.9;Tarama muayenesi, tanımlanmamış;Screening examination, unspecified
10730;Z20;Nakledilebilen hastalıklarla temas ve maruz kalma;diseases that can be transmitted by contact and exposure
10731;Z20.0;Barsak enfeksiyon hastalıklarına temas ve maruz kalma;contact and exposure to intestinal infectious diseases
10732;Z20.1;Tüberküloza temas ve maruz kalma;Tuberculosis contact and exposure
10733;Z20.2;Cinsel yolla bulaşan enfeksiyonlara temas ve maruz kalma;contact and exposure to sexually transmitted infections
10734;Z20.3;Kuduza temas ve maruz kalma;Contact and exposure to rabies
10735;Z20.4;Rubellaya temas ve maruz kalma;Contact and exposure to rubella
10736;Z20.5;Viral hepatite temas ve maruz kalma;Contact and exposure to viral hepatitis
10737;Z20.6;İnsan immünyetmezlik virüs [HIV]’una temas ve maruz kalma;Human immunodeficiency virus [HIV] 's contact and exposure
10738;Z20.7;Pedikülosis, akaryasis ve diğer enfestasyonlara temas ve maruz kalma;Pediculosis, contact and exposure to akaryasis and other infestations
10739;Z20.8;Bulaşıcı hastalıklara diğer temas ve maruz kalma;Other contact and exposure to communicable diseases
10740;Z20.9;Bulaşıcı hastalığa tanımlanmamış temas ve maruz kalma;Infectious disease unspecified contact and exposure
10741;Z21;Asemptomatik insan immünyetmezlik virüs [HIV] enfeksiyon durumu ;Asymptomatic human immunodeficiency virus [HIV] infection status 
10742;Z22;Enfeksiyöz hastalık taşıyıcısı;Infectious disease carrier
10743;Z22.0;Tifo taşıyıcısı;Typhoid carrier
10744;Z22.1;Barsak enfeksiyon hastalıkları diğer taşıyıcısı;Intestinal infectious diseases other carrier
10745;Z22.2;Difteri taşıyıcısı;Diphtheria carrier
10746;Z22.3;Bakteriyel hastalıkların diğer tanımlanmış taşıyıcısı;Other specified carrier of bacterial diseases
10747;Z22.4;Cinsel yolla bulaşan enfeksiyon taşıyıcısı;carriers of sexually transmitted infections
10748;Z22.5;Viral hepatit taşıyıcısı;Viral hepatitis carrier
10749;Z22.6;İnsan T-lenfotropik virüs tip 1 [HTLV-1] enfeksiyonu taşıyıcısı;Human T-lymphotropic virus type 1 [HTLV-1] infections carrier
10750;Z22.8;Enfeksiyon hastalıkları diğer taşıyıcısı;other carriers of infectious diseases
10751;Z22.9;Enfeksiyon hastalığı taşıyıcısı, tanımlanmamış;Infectious disease carriers, unspecified
10752;Z23;Bakteriyel hastalıklara karşı bağışıklama;Immunization against bacterial diseases
10753;Z23.0;Koleraya karşı bağışıklama ihtiyacı;Need for immunization against cholera
10754;Z23.1;Tifo-paratifoya [TAB] karşı bağışıklama ihtiyacı;Typhoid-paratyphoid A [TAB] Need for immunization against
10755;Z23.2;Tüberküloza [BCG] karşı bağışıklama ihtiyacı;Tuberculosis [BCG] Need for immunization against
10756;Z23.3;Vebaya karşı bağışıklama ihtiyacı;Need for immunization against plague
10757;Z23.4;Tularemiye karşı bağışıklama ihtiyacı;Need for immunization against tularemia
10758;Z23.5;Tetanoza karşı bağışıklama ihtiyacı;Need for immunization against tetanus
10759;Z23.6;Difteriye karşı bağışıklama ihtiyacı;Need for immunization against diphtheria
10760;Z23.7;Boğmacaya karşı bağışıklama;immunization against pertussis
10761;Z23.8;Tek bakteriyel hastalıklara karşı diğer bağışıklama;immunization against other single bacterial diseases
10762;Z24;Bazı viral hastalıklara karşı bağışıklama;Immunization against some viral diseases
10763;Z24.0;Poliomyelite karşı bağışıklama ihtiyacı;Need for immunization against poliomyelitis
10764;Z24.1;Artropot-kaynaklı viral ensefalite karşı bağışıklama ihtiyacı;Need for immunization against arthropod-borne viral encephalitis
10765;Z24.2;Kuduza karşı bağışıklama ihtiyacı;Need for immunization against rabies
10766;Z24.3;Sarı hummaya karşı bağışıklama ihtiyacı;Need for immunization against yellow fever
10767;Z24.4;Kızamığa karşı bağışıklama ihtiyacı;Need for immunization against measles
10768;Z24.5;Rubellaya karşı bağışıklama ihtiyacı;Need for immunization against rubella
10769;Z24.6;Viral hepatite karşı bağışıklama ihtiyacı;Need for immunization against viral hepatitis
10770;Z25;Viral diğer hastalıklara karşı bağışıklama;Immunization against viral diseases other
10771;Z25.0;Sadece kabakulağa karşı bağışıklama ihtiyacı;Just Need for immunization against mumps
10772;Z25.1;Gribe karşı bağışıklama ihtiyacı;Need for immunization against influenza
10773;Z25.8;Tek viral hastalığa karşı diğer tanımlanmış bağışıklama ihtiyacı;Need for immunization against other specified single viral diseases
10774;Z26;Tek enfeksiyöz diğer hastalıklara karşı bağışıklama;Immunization against other single infectious diseases
10775;Z26.0;Leishmaniasis’e karşı bağışıklama ihtiyacı;Need for immunization against leishmaniasis
10776;Z26.8;Tek enfeksiyon hastalığına karşı diğer tanımlanmış bağışıklama ihtiyacı;Need for immunization against other specified single infectious diseases
10777;Z26.9;Enfeksiyon hastalığına karşı tanımlanmamış bağışıklama ihtiyacı;Need for immunization against unspecified infectious disease
10778;Z27;Enfeksiyon hastalıkları kombinasyonuna karşı bağışıklama;Combination for immunization against infectious diseases
10779;Z27.0;Tifo-paratifo ile birlikte koleraya [kolera +TAB] karşı bağışıklama ihtiyacı;Cholera with typhoid-paratyphoid [cholera + TAB] Need for immunization against
10780;Z27.1;Difteri-tetanos-boğmacaya, kombine [DTP] karşı bağışıklama ihtiyacı;Diphtheria-tetanus-pertussis, combined [DTP] Need for immunization against
10781;Z27.2;Tifo-paratifo ile birlikte difteri-tetanoz-boğmacaya [DTP+TAB]karşı bağışıklama ihtiyacı;Typhoid-paratyphoid with diphtheria-tetanus-pertussis [DTP + TAB] Need for immunization against
10782;Z27.3;Poliomyelit ile birlikte difteri-tetanoz-boğmacaya [DTP+polio]karşı bağışıklama ihtiyacı;diphtheria-tetanus-pertussis with poliomyelitis [DTP + polio] Need for immunization against
10783;Z27.4;Kızamık-kabakulak-rubellaya [MMR] karşı bağışıklama ihtiyacı;Measles-mumps-rubella [MMR] Need for immunization against
10784;Z27.8;Enfeksiyon hastalıkları diğer kombinasyonlarına karşı bağışıklama;Immunization against other combinations of infectious diseases
10785;Z27.9;Enfeksiyon hastalıkları tanımlanmamış kombinasyonlarına karşı bağışıklama ;Immunization against unspecified combinations of infectious diseases 
10786;Z28;Yapılmamış bağışıklama;Immunization
10787;Z28.0;Kontrendike olduğu için yapılmamış bağışıklama;yet it is contraindicated for the immunization
10788;Z28.1;Hastanın kararı dışında, inanç veya grup baskısından dolayı yapılamamış bağışıklama;outside the patient's decision, immunization has not been made because of the belief or group pressure
10789;Z28.2;Hastanın kararı dışında yapılamamış bağışıklama diğer ve tanımlanmamış ;Immunization not carried out because of patient's decision for other and unspecified 
10790;Z28.8;Yapılmamış bağışıklama diğer nedenlerden dolayı;Immunization not carried out for other reasons
10791;Z28.9;Yapılmamış bağışıklama tanımlanmamış nedenden dolayı;Immunization not carried out for unspecified reason
10792;Z29;Profilaktik diğer tedbirler ihtiyacı;The Need for other prophylactic measures
10793;Z29.0;Tecrit;Isolation
10794;Z29.1;Profilaktik immünoterapi;Prophylactic immunotherapy
10795;Z29.2;Profilaktik kemoterapiler, diğer;Prophylactic chemotherapy, other
10796;Z29.8;Profilaktik tedbirler diğer, tanımlanmış;Other prophylactic measures, defined
10797;Z29.9;Profilaktik tedbir, tanımlanmamış;Prophylactic measure, unspecified
10798;Z30;Doğum kontrolu yöntemi;Birth control method
10799;Z30.0;Doğum kontrolünde genel danışma ve öneri;general counseling and advice on contraception
10800;Z30.1;Rahim içi aracın yerleştirilmesi;positioning the intrauterine device
10801;Z30.2;Kısırlaştırma;Sterilization
10802;Z30.3;Menstrüel uzaklaştırma;menstrual out
10803;Z30.4;Doğum kontrol ilaçlarının gözetimi;surveillance of birth control pills
10804;Z30.5;Rahim içi aracın gözetimi;The surveillance intrauterine device
10805;Z30.8;Doğum kontrol yöntemi, diğer;Birth control methods, on the other
10806;Z30.9;Doğum kontrol yönetimi, tanımlanmamış;Contraceptive management, unspecified
10807;Z31;Üreme yöntemi;Reproduction method
10808;Z31.0;Kısırlaştırma sonrası tuboplasti veya vazoplasti;tuboplasty represents vazoplas after he or neutering
10809;Z31.1;Yapay dölleme;Artificial insemination
10810;Z31.2;İnvitro dölleme;invitro fertilization
10811;Z31.3;Yardımcı dölleme yöntemleri, diğer;Assisted fertilization methods, other
10812;Z31.4;Üreme araştırma ve testi;Reproduction in research and testing
10813;Z31.5;Genetik danışma;genetic counseling
10814;Z31.6;Üreme hakkında genel danışma ve öneri;general counseling and advice on Reproductive
10815;Z31.8;Üreme diğer yöntemleri;Other methods of breeding
10816;Z31.9;Üreme yöntemleri, tanımlanmamış;Reproduction methods, unspecified
10817;Z32;Gebelik muayene ve testi;Pregnancy examination and test
10818;Z32.0;Gebelik, henüz doğrulanmamış ;Pregnancy, unconfirmed 
10819;Z32.1;Gebelik, doğrulanmış;Pregnancy, verified
10820;Z33;Gebelik durumu;Pregnancy status
10821;Z34;Normal gebeliğin gözlemi;The observation of normal pregnancy
10822;Z34.0;Normal ilk gebeliğin gözlemi;Supervision of normal first pregnancy
10823;Z34.8;Normal gebeliğin gözlemi, diğer;Supervision of normal pregnancy, other
10824;Z34.9;Normal gebeliğin gözlemi, tanımlanmamış;Supervision of normal pregnancy, unspecified
10825;Z35;Yüksek-riskli gebeliğin gözlemi;Supervision of high-risk pregnancy
10826;Z35.0;İnfertilite öyküsü olan gebeliğin gözlemi;Supervision of pregnancy with history of infertility
10827;Z35.1;Düşükle sonuçlanmış öyküsü olan gebeliğin gözlemi;Supervision of pregnancy with history has resulted in a miscarriage
10828;Z35.2;Kötü üreme veya obstetrik öyküsü olan diğer gebeliğin gözlemi;Supervision of pregnancy with other poor reproductive or obstetric history
10829;Z35.3;Doğum öncesi yetersiz bakım öyküsü olan gebeliğin gözlemi;Supervision of pregnancy with inadequate prenatal care stories
10830;Z35.4;Grand multipar gebeliğin gözlemi;Supervision of pregnancy with grand multiparity
10831;Z35.5;Yaşlı primigravidanın gözlemi;Supervision of elderly primigravida of
10832;Z35.6;Genç primigravidanın gözlemi;Young's observation primigravid
10833;Z35.7;Sosyal problemlerden dolayı yüksek-riskli gebeliğin gözlemi;Supervision of high-risk pregnancy due to social problems
10834;Z35.8;Yüksek-riskli gebeliklerin diğer gözlemi;Supervision of other high-risk pregnancy
10835;Z35.9;Yüksek-riskli gebeliğin gözlemi, tanımlanmamış;Supervision of high-risk pregnancy, unspecified
10836;Z36;Antenatal tarama;antenatal screening
10837;Z36.0;Kromozom anomalileri için antenatal tarama;Antenatal screening for chromosomal anomalies
10838;Z36.1;Yüksek alfafetoprotein düzeyi için antenatal tarama;Antenatal screening for high levels alphafetoprotein
10839;Z36.2;Amniosenteze dayanan diğer antenatal tarama;Other antenatal screening based on amniocentesis
10840;Z36.3;Ultrason ve diğer fiziksel metodlar kullanarak malformasyonlar için antenatal tarama ;Using ultrasound and other physical methods of antenatal screening for malformations 
